สารที่ตรวจ,สถานี,บริเวณจุดเก็บ,ครั้งที่ตรวจ,ค่าที่ได้
สารหนู,KK01 ,ชายแดนไทย - พม่า ,ครั้งที่ 1 ,33
สารหนู,KK02 ,สะพานมติ รภาพแม่นาวาง-ท่าตอน  ,ครั้งที่ 1 ,22
สารหนู,KK03 ,สะพานสองดินแดนบ้านแม่สลัก  ,ครั้งที่ 1 ,20
สารหนู,FA01 ,ต.มะลิกา อ.แม่อาย ,ครั้งที่ 1 ,- 
สารหนู,KK04 ,บ้านจะเด้อ หมู่ 6 ,ครั้งที่ 1 ,- 
สารหนู,KK05 ,สะพานมิตรภาพแม่ยาว-ดอยฮาง  ,ครั้งที่ 1 ,- 
สารหนู,KK06 ,บ้านโป่งนาคำ  ,ครั้งที่ 1 ,21
สารหนู,KK07 ,สะพานข้ามแม่น้ำกก  ,ครั้งที่ 1 ,20
สารหนู,KK08 ,สะพานแม่ฟ้าหลวง  ,ครั้งที่ 1 ,21
สารหนู,KK09 ,สะพานเฉลิมพระเกียรติ1  ,ครั้งที่ 1 ,- 
สารหนู,KK10 ,ฝายเชียงราย ,ครั้งที่ 1 ,- 
สารหนู,KK11 ,สะพานริมกก-เวียงเหนือรวมใจ  ,ครั้งที่ 1 ,- 
สารหนู,KK12 ,สะพานโยนกนาคนคร  ,ครั้งที่ 1 ,- 
สารหนู,KK13 ,ต.ท่าข้าวเปลือก อ.แม่จัน ,ครั้งที่ 1 ,- 
สารหนู,KK14 ,ต.หนองป่าก่อ อ.ดอยหลวง  ,ครั้งที่ 1 ,- 
สารหนู,KK15 ,ต.บ้านแซว อ.เชียงแสน  ,ครั้งที่ 1 ,- 
สารหนู,KO01 ,ต.ท่าสาย อ.เมือง จ.เชียงราย ,ครั้งที่ 1 ,- 
สารหนู,LA01 ,ต.เวียงชัย อ.เวียงชัย ,ครั้งที่ 1 ,- 
สารหนู,SU01 ,ต.แม่สรวย อ.แม่สรวย  ,ครั้งที่ 1 ,- 
สารหนู,SA01 ,บ้านหัวฝาย ต.แม่สาย อ.แม่สาย  ,ครั้งที่ 1 ,- 
สารหนู,SA02 ,สะพานมิตรภาพแม่น้ำสายแห่งที่ 2  ,ครั้งที่ 1 ,- 
สารหนู,SA03 ,บ้านป่าซางงาม ม.6  ,ครั้งที่ 1 ,- 
สารหนู,RU01 ,สถานีสูบน้ำเกาะช้าง  การประปาส่วนภูมิภาค  ,ครั้งที่ 1 ,- 
สารหนู,RU02 ,ต.เวียง อ.เชียงแสน ,ครั้งที่ 1 ,- 
สารหนู,NK01 ,จุดผ่านแดนสามเหลี่ยมทองคำ  ,ครั้งที่ 1 ,- 
สารหนู,NK02 ,ต.เวียง อ.เชียงแสน ,ครั้งที่ 1 ,- 
สารหนู,NK03 ,บ้านสบกก ต.บ้านแซว อ.เชียงแสน  ,ครั้งที่ 1 ,- 
แคดเมียม,KK01 ,ชายแดนไทย - พม่า ,ครั้งที่ 1 ,0.58
แคดเมียม,KK02 ,สะพานมติ รภาพแม่นาวาง-ท่าตอน  ,ครั้งที่ 1 ,0.14
แคดเมียม,KK03 ,สะพานสองดินแดนบ้านแม่สลัก  ,ครั้งที่ 1 ,<0.10 
แคดเมียม,FA01 ,ต.มะลิกา อ.แม่อาย ,ครั้งที่ 1 ,- 
แคดเมียม,KK04 ,บ้านจะเด้อ หมู่ 6 ,ครั้งที่ 1 ,- 
แคดเมียม,KK05 ,สะพานมิตรภาพแม่ยาว-ดอยฮาง  ,ครั้งที่ 1 ,- 
แคดเมียม,KK06 ,บ้านโป่งนาคำ  ,ครั้งที่ 1 ,<0.10 
แคดเมียม,KK07 ,สะพานข้ามแม่น้ำกก  ,ครั้งที่ 1 ,0.14
แคดเมียม,KK08 ,สะพานแม่ฟ้าหลวง  ,ครั้งที่ 1 ,0.16
แคดเมียม,KK09 ,สะพานเฉลิมพระเกียรติ1  ,ครั้งที่ 1 ,- 
แคดเมียม,KK10 ,ฝายเชียงราย ,ครั้งที่ 1 ,- 
แคดเมียม,KK11 ,สะพานริมกก-เวียงเหนือรวมใจ  ,ครั้งที่ 1 ,- 
แคดเมียม,KK12 ,สะพานโยนกนาคนคร  ,ครั้งที่ 1 ,- 
แคดเมียม,KK13 ,ต.ท่าข้าวเปลือก อ.แม่จัน ,ครั้งที่ 1 ,- 
แคดเมียม,KK14 ,ต.หนองป่าก่อ อ.ดอยหลวง  ,ครั้งที่ 1 ,- 
แคดเมียม,KK15 ,ต.บ้านแซว อ.เชียงแสน  ,ครั้งที่ 1 ,- 
แคดเมียม,KO01 ,ต.ท่าสาย อ.เมือง จ.เชียงราย ,ครั้งที่ 1 ,- 
แคดเมียม,LA01 ,ต.เวียงชัย อ.เวียงชัย ,ครั้งที่ 1 ,- 
แคดเมียม,SU01 ,ต.แม่สรวย อ.แม่สรวย  ,ครั้งที่ 1 ,- 
แคดเมียม,SA01 ,บ้านหัวฝาย ต.แม่สาย อ.แม่สาย  ,ครั้งที่ 1 ,- 
แคดเมียม,SA02 ,สะพานมิตรภาพแม่น้ำสายแห่งที่ 2  ,ครั้งที่ 1 ,- 
แคดเมียม,SA03 ,บ้านป่าซางงาม ม.6  ,ครั้งที่ 1 ,- 
แคดเมียม,RU01 ,สถานีสูบน้ำเกาะช้าง  การประปาส่วนภูมิภาค  ,ครั้งที่ 1 ,- 
แคดเมียม,RU02 ,ต.เวียง อ.เชียงแสน ,ครั้งที่ 1 ,- 
แคดเมียม,NK01 ,จุดผ่านแดนสามเหลี่ยมทองคำ  ,ครั้งที่ 1 ,- 
แคดเมียม,NK02 ,ต.เวียง อ.เชียงแสน ,ครั้งที่ 1 ,- 
แคดเมียม,NK03 ,บ้านสบกก ต.บ้านแซว อ.เชียงแสน  ,ครั้งที่ 1 ,- 
แมงกานีส,KK01 ,ชายแดนไทย - พม่า ,ครั้งที่ 1 ,280
แมงกานีส,KK02 ,สะพานมติ รภาพแม่นาวาง-ท่าตอน  ,ครั้งที่ 1 ,389
แมงกานีส,KK03 ,สะพานสองดินแดนบ้านแม่สลัก  ,ครั้งที่ 1 ,310
แมงกานีส,FA01 ,ต.มะลิกา อ.แม่อาย ,ครั้งที่ 1 ,- 
แมงกานีส,KK04 ,บ้านจะเด้อ หมู่ 6 ,ครั้งที่ 1 ,- 
แมงกานีส,KK05 ,สะพานมิตรภาพแม่ยาว-ดอยฮาง  ,ครั้งที่ 1 ,- 
แมงกานีส,KK06 ,บ้านโป่งนาคำ  ,ครั้งที่ 1 ,330
แมงกานีส,KK07 ,สะพานข้ามแม่น้ำกก  ,ครั้งที่ 1 ,379
แมงกานีส,KK08 ,สะพานแม่ฟ้าหลวง  ,ครั้งที่ 1 ,642
แมงกานีส,KK09 ,สะพานเฉลิมพระเกียรติ1  ,ครั้งที่ 1 ,- 
แมงกานีส,KK10 ,ฝายเชียงราย ,ครั้งที่ 1 ,- 
แมงกานีส,KK11 ,สะพานริมกก-เวียงเหนือรวมใจ  ,ครั้งที่ 1 ,- 
แมงกานีส,KK12 ,สะพานโยนกนาคนคร  ,ครั้งที่ 1 ,- 
แมงกานีส,KK13 ,ต.ท่าข้าวเปลือก อ.แม่จัน ,ครั้งที่ 1 ,- 
แมงกานีส,KK14 ,ต.หนองป่าก่อ อ.ดอยหลวง  ,ครั้งที่ 1 ,- 
แมงกานีส,KK15 ,ต.บ้านแซว อ.เชียงแสน  ,ครั้งที่ 1 ,- 
แมงกานีส,KO01 ,ต.ท่าสาย อ.เมือง จ.เชียงราย ,ครั้งที่ 1 ,- 
แมงกานีส,LA01 ,ต.เวียงชัย อ.เวียงชัย ,ครั้งที่ 1 ,- 
แมงกานีส,SU01 ,ต.แม่สรวย อ.แม่สรวย  ,ครั้งที่ 1 ,- 
แมงกานีส,SA01 ,บ้านหัวฝาย ต.แม่สาย อ.แม่สาย  ,ครั้งที่ 1 ,- 
แมงกานีส,SA02 ,สะพานมิตรภาพแม่น้ำสายแห่งที่ 2  ,ครั้งที่ 1 ,- 
แมงกานีส,SA03 ,บ้านป่าซางงาม ม.6  ,ครั้งที่ 1 ,- 
แมงกานีส,RU01 ,สถานีสูบน้ำเกาะช้าง  การประปาส่วนภูมิภาค  ,ครั้งที่ 1 ,- 
แมงกานีส,RU02 ,ต.เวียง อ.เชียงแสน ,ครั้งที่ 1 ,- 
แมงกานีส,NK01 ,จุดผ่านแดนสามเหลี่ยมทองคำ  ,ครั้งที่ 1 ,- 
แมงกานีส,NK02 ,ต.เวียง อ.เชียงแสน ,ครั้งที่ 1 ,- 
แมงกานีส,NK03 ,บ้านสบกก ต.บ้านแซว อ.เชียงแสน  ,ครั้งที่ 1 ,- 
นิกเกิล,KK01 ,ชายแดนไทย - พม่า ,ครั้งที่ 1 ,13
นิกเกิล,KK02 ,สะพานมติ รภาพแม่นาวาง-ท่าตอน  ,ครั้งที่ 1 ,21
นิกเกิล,KK03 ,สะพานสองดินแดนบ้านแม่สลัก  ,ครั้งที่ 1 ,16
นิกเกิล,FA01 ,ต.มะลิกา อ.แม่อาย ,ครั้งที่ 1 ,- 
นิกเกิล,KK04 ,บ้านจะเด้อ หมู่ 6 ,ครั้งที่ 1 ,- 
นิกเกิล,KK05 ,สะพานมิตรภาพแม่ยาว-ดอยฮาง  ,ครั้งที่ 1 ,- 
นิกเกิล,KK06 ,บ้านโป่งนาคำ  ,ครั้งที่ 1 ,18
นิกเกิล,KK07 ,สะพานข้ามแม่น้ำกก  ,ครั้งที่ 1 ,21
นิกเกิล,KK08 ,สะพานแม่ฟ้าหลวง  ,ครั้งที่ 1 ,30
นิกเกิล,KK09 ,สะพานเฉลิมพระเกียรติ1  ,ครั้งที่ 1 ,- 
นิกเกิล,KK10 ,ฝายเชียงราย ,ครั้งที่ 1 ,- 
นิกเกิล,KK11 ,สะพานริมกก-เวียงเหนือรวมใจ  ,ครั้งที่ 1 ,- 
นิกเกิล,KK12 ,สะพานโยนกนาคนคร  ,ครั้งที่ 1 ,- 
นิกเกิล,KK13 ,ต.ท่าข้าวเปลือก อ.แม่จัน ,ครั้งที่ 1 ,- 
นิกเกิล,KK14 ,ต.หนองป่าก่อ อ.ดอยหลวง  ,ครั้งที่ 1 ,- 
นิกเกิล,KK15 ,ต.บ้านแซว อ.เชียงแสน  ,ครั้งที่ 1 ,- 
