แม่น้ำ,สถานี,บริเวณที่เก็บ,ตำบล,อำเภอ,จังหวัด
แม่น้ำกก ,KK01 ,ชายแดนไทย-พม่า หย่อมบ้านแก่งตุ๋ม ม.14 ต.ท่าตอน อ.แม่อาย จ.เชียงใหม่ ,ท่าตอน,แม่อาย,เชียงใหม่
แม่น้ำกก ,KK02 ,สะพานมิตรภาพแม่นาวาง-ท่าตอน ต.ท่าตอน อ.แม่อาย จ.เชียงใหม่ ,ท่าตอน,แม่อาย,เชียงใหม่
แม่น้ำกก ,KK03 ,สะพานสองดินแดนบ้านแม่สลัก บ้านใหม่หมอกจ๋าม ต.ท่าตอน อ.แม่อาย จ.เชียงใหม่ ,ท่าตอน,แม่อาย,เชียงใหม่
แม่น้ำฝาง ,FA01 ,ต.มะลิกา อ.แม่อาย จ.เชียงใหม่ ,มะลิกา,แม่อาย,เชียงใหม่
แม่น้ำกก ,KK04 ,บ้านจะเด้อ หมู่ 6 ต.ดอยฮาง อ.เมือง จ.เชียงราย ,ดอยฮาง,เมืองเชียงราย,เชียงราย
แม่น้ำกก ,KK05 ,สะพานมิตรภาพแม่ยาว-ดอยฮาง ต.ดอยฮาง อ.เมือง จ.เชียงราย ,ดอยฮาง,เมืองเชียงราย,เชียงราย
แม่น้ำกก ,KK06 ,บ้านโป่งนาคำ ต.ดอยฮาง อ.เมือง จ.เชียงราย ,ดอยฮาง,เมืองเชียงราย,เชียงราย
แม่น้ำกก ,KK07 ,สะพานข้ามแม่น้ำกก ต.ดอยฮาง อ.เมือง จ.เชียงราย ,ดอยฮาง,เมืองเชียงราย,เชียงราย
แม่น้ำกก ,KK08 ,สะพานแม่ฟ้าหลวง ต.รอบเวียง อ.เมือง จ.เชียงราย ,รอบเวียง,เมืองเชียงราย,เชียงราย
แม่น้ำกก ,KK09 ,สะพานเฉลิมพระเกียรติ1 ต.รอบเวียง อ.เมือง จ.เชียงราย ,รอบเวียง,เมืองเชียงราย,เชียงราย
แม่น้ำกก ,KK10 ,ฝายเชียงราย ต.รอบเวียง อ.เมือง จ.เชียงราย ,รอบเวียง,เมืองเชียงราย,เชียงราย
แม่น้ำกก ,KK11 ,สะพานริมกก-เวียงเหนือรวมใจ ต.เวียงเหนือ อ.เวียงชัย จ.เชียงราย ,เวียงเหนือ,เวียงชัย,เชียงราย
แม่น้ำกก ,KK12 ,สะพานโยนกนาคนคร ต.แม่ข้าวต้ม อ.เมือง จ.เชียงราย ,แม่ข้าวต้ม,เมืองเชียงราย,เชียงราย
แม่น้ำกก ,KK13 ,ต.ท่าข้าวเปลือก อ.แม่จัน จ.เชียงราย ,ท่าข้าวเปลือก,แม่จัน,เชียงราย
แม่น้ำกก ,KK14 ,ต.หนองป่าก่อ อ.ดอยหลวง จ.เชียงราย ,หนองป่าก่อ,ดอยหลวง,เชียงราย
แม่น้ำกก ,KK15 ,ต.บ้านแซว อ.เชียงแสน จ.เชียงราย ,บ้านแซว,เชียงแสน,เชียงราย
แม่น้ำกรณ์ ,KO01 ,ต.ท่าสาย อ.เมือง จ.เชียงราย ,ท่าสาย,เมืองเชียงราย,เชียงราย
แม่น้ำลาว ,LA01 ,ต.เวียงชัย อ.เวียงชัย จ.เชียงราย ,เวียงชัย,เวียงชัย,เชียงราย
แม่น้ำสรวย ,SU01 ,ต.แม่สรวย อ.แม่สรวย จ.เชียงราย ,แม่สรวย,แม่สรวย,เชียงราย
แม่น้ำสาย ,SA01 ,บ้านหัวฝาย ต.แม่สาย อ.แม่สาย จ.เชียงราย ,แม่สาย,แม่สาย,เชียงราย
แม่น้ำสาย ,SA02 ,สะพานมิตรภาพแม่น้ำสายแห่งที่ 2 ต.แม่สาย อ.แม่สาย จ.เชียงราย ,แม่สาย,แม่สาย,เชียงราย
แม่น้ำสาย ,SA03 ,บ้านป่าซางงาม ม.6 ต.เกาะช้าง อ.แม่สาย จ.เชียงราย ,เกาะช้าง,แม่สาย,เชียงราย
แม่น้ำรวก ,RU01 ,สถานีสูบน้ำเกาะช้าง การประปาส่วนภูมิภาค สาขาแม่สาย อ.แม่สาย จ.เชียงราย ,เกาะช้าง,แม่สาย,เชียงราย
แม่น้ำรวก ,RU02 ,ต.เวียง อ.เชียงแสน จ.เชียงราย (จุดปลายแม่น้ำรวก) ,เวียง,เชียงแสน,เชียงราย
แม่น้ำโขง ,NK01 ,จุดผ่านแดนถาวรสามเหลี่ยมทองคำ (บ้านสบรวก) ต.เวียง อ.เชียงแสน จ.เชียงราย ,เวียง,เชียงแสน,เชียงราย
แม่น้ำโขง ,NK02 ,ต.เวียง อ.เชียงแสน จ.เชียงราย ,เวียง,เชียงแสน,เชียงราย
แม่น้ำโขง ,NK03 ,บ้านสบกก ต.บ้านแซว อ.เชียงแสน จ.เชียงราย ,บ้านแซว,เชียงแสน,เชียงราย
