สิ่งที่ตรวจ,สถานี,ที่ตั้ง,ครั้งที่ตรวจ,ค่าที่ได้,หน่วย
ความขุ่น,KK01 ,ชายแดนไทย - พม่า ,1,988,NTU
ความขุ่น,KK02 ,สะพานมิตรภาพแม่นาวาง-ท่าตอน  ,1,171,NTU
ความขุ่น,KK03 ,สะพานสองดินแดนบ้านแม่สลัก  ,1,139,NTU
ความขุ่น,KK04 ,บ้านจะเด้อ หมู่ 6 ,1,- ,NTU
ความขุ่น,KK05 ,สะพานมิตรภาพแมย่ าว-ดอยฮาง  ,1,- ,NTU
ความขุ่น,KK06 ,บ้านโป่งนาคำ  ,1,115,NTU
ความขุ่น,KK07 ,สะพานข้ามแม่น้ำกก  ,1,127,NTU
ความขุ่น,KK08 ,สะพานแม่ฟา้ หลวง  ,1,106,NTU
ความขุ่น,KK09 ,สะพานเฉลิมพระเกยี รติ1  ,1,- ,NTU
ความขุ่น,KK10 ,ฝายเชียงราย ,1,- ,NTU
ความขุ่น,KK11 ,สะพานริมกก-เวียงเหนือรวมใจ  ,1,- ,NTU
ความขุ่น,KK12 ,สะพานโยนกนาคนคร  ,1,- ,NTU
ความขุ่น,KK13 ,ต.ท่าข้าวเปลือก อ.แมจ่ ัน ,1,- ,NTU
ความขุ่น,KK14 ,ต.หนองป่าก่อ อ.ดอยหลวง  ,1,- ,NTU
ความขุ่น,KK15 ,ต.บ้านแซว อ.เชียงแสน  ,1,- ,NTU
ความขุ่น,KO01 ,ต.ท่าสาย อ.เมือง จ.เชียงราย ,1,- ,NTU
ความขุ่น,LA01 ,ต.เวียงชัย อ.เวยี งชัย ,1,- ,NTU
ความขุ่น,SU01 ,ต.แม่สรวย อ.แม่สรวย  ,1,- ,NTU
ความขุ่น,SA01 ,บ้านหัวฝาย ต.แม่สาย อ.แม่สาย  ,1,- ,NTU
ความขุ่น,SA02 ,สะพานมิตรภาพแม่น้ำสายแห่งที่ 2  ,1,- ,NTU
ความขุ่น,SA03 ,บ้านป่าซางงาม ม.6  ,1,- ,NTU
